DT,HOL_NM
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-01T00:00:00.000Z,New Year's Day
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
2018-01-06T00:00:00.000Z,Epiphany
