prod_code,customer,location,category,time_var,shipments
8684_05,ALDI,sansebastian,snack,2022-09-26T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2022-12-26T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2023-04-03T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2021-04-12T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2021-11-22T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2021-12-13T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2021-04-05T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2022-02-28T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2022-05-30T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2020-12-14T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2021-10-18T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2021-08-30T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2022-06-13T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2023-05-29T00:00:00.000+0000,0
8684_05,ALDI,sansebastian,snack,2020-12-21T00:00:00.000+0000,224717
8684_05,ALDI,sansebastian,snack,2023-03-20T00:00:00.000+0000,162290
8684_05,ALDI,sansebastian,snack,2022-02-07T00:00:00.000+0000,58561
8684_05,ALDI,sansebastian,snack,2021-09-27T00:00:00.000+0000,368429
8684_05,ALDI,sansebastian,snack,2023-03-06T00:00:00.000+0000,180396
8684_05,ALDI,sansebastian,snack,2021-02-15T00:00:00.000+0000,283465
8684_05,ALDI,sansebastian,snack,2021-05-03T00:00:00.000+0000,1012779
8684_05,ALDI,sansebastian,snack,2021-06-28T00:00:00.000+0000,622378
8684_05,ALDI,sansebastian,snack,2021-01-18T00:00:00.000+0000,199822
8684_05,ALDI,sansebastian,snack,2021-10-25T00:00:00.000+0000,343723
8684_05,ALDI,sansebastian,snack,2020-10-26T00:00:00.000+0000,184545
8684_05,ALDI,sansebastian,snack,2022-11-14T00:00:00.000+0000,388987
8684_05,ALDI,sansebastian,snack,2022-02-14T00:00:00.000+0000,34232
8684_05,ALDI,sansebastian,snack,2020-11-09T00:00:00.000+0000,247160
8684_05,ALDI,sansebastian,snack,2022-06-27T00:00:00.000+0000,788817
8684_05,ALDI,sansebastian,snack,2023-07-17T00:00:00.000+0000,1232968
8684_05,ALDI,sansebastian,snack,2021-04-19T00:00:00.000+0000,598615
8684_05,ALDI,sansebastian,snack,2022-07-04T00:00:00.000+0000,251121
8684_05,ALDI,sansebastian,snack,2023-04-17T00:00:00.000+0000,1113302
8684_05,ALDI,sansebastian,snack,2021-01-04T00:00:00.000+0000,759396
8684_05,ALDI,sansebastian,snack,2021-03-08T00:00:00.000+0000,176624
8684_05,ALDI,sansebastian,snack,2021-03-29T00:00:00.000+0000,263097
8684_05,ALDI,sansebastian,snack,2021-08-23T00:00:00.000+0000,746382
8684_05,ALDI,sansebastian,snack,2022-11-28T00:00:00.000+0000,314301
8684_05,ALDI,sansebastian,snack,2020-11-30T00:00:00.000+0000,228017
8684_05,ALDI,sansebastian,snack,2021-01-25T00:00:00.000+0000,165308
8684_05,ALDI,sansebastian,snack,2020-11-02T00:00:00.000+0000,405678
8684_05,ALDI,sansebastian,snack,2023-05-22T00:00:00.000+0000,186808
8684_05,ALDI,sansebastian,snack,2021-09-20T00:00:00.000+0000,314490
